## 广东工业大学保研手册系列（8 条）

来源：广东工业大学计算机学院保研经验分享。
档案文件：`backend/internal/yantuseed/profiles_gdut_feyue.go`

| 序号 | 人生 Agent 显示名 | 原归属来源 | 原归属账号 | 新登录邮箱 | 初始密码 |
| 315 | 豆沙喝牛奶 | 川师升学Wiki | yantu-import@demo.com | map_hex60@163.com | YantuLa2026! |
| 316 | 布丁_蘑菇 | 川师升学Wiki | yantu-import@demo.com | nodearc23@163.com | YantuLa2026! |
| 317 | 龙眼_奶酪 | 川师升学Wiki | yantu-import@demo.com | starray14@163.com | YantuLa2026! |
| 318 | 奶酪_麦芽 | 川师升学Wiki | yantu-import@demo.com | gridlog27@163.com | YantuLa2026! |
| 319 | 可可骑单车 | 川师升学Wiki | yantu-import@demo.com | arcstorm83@163.com | YantuLa2026! |
| 320 | 瓢虫画画中 | 川师升学Wiki | yantu-import@demo.com | pixelbass09@163.com | YantuLa2026! |
| 321 | 石榴鸭写代码 | 川师升学Wiki | yantu-import@demo.com | pondrose61@163.com | YantuLa2026! |
| 322 | 小熊oo在赶DDL | 川师升学Wiki | yantu-import@demo.com | fern_pine49@163.com | YantuLa2026! |
| 323 | 抹茶_鸽子 | 川师升学Wiki | yantu-import@demo.com | dawn_haze47@163.com | YantuLa2026! |
| 324 | 努力的花生哈 | 川师升学Wiki | yantu-import@demo.com | twig_seed20@163.com | YantuLa2026! |
| 325 | 蘑菇_菠萝 | 川师升学Wiki | yantu-import@demo.com | chiprain29@163.com | YantuLa2026! |
| 326 | 薯片_v去散步 | 川师升学Wiki | yantu-import@demo.com | dot_bass85@163.com | YantuLa2026! |
| 327 | 花生_章鱼 | 川师升学Wiki | yantu-import@demo.com | gearcreek80@163.com | YantuLa2026! |
| 328 | 草莓修电脑 | 川师升学Wiki | yantu-import@demo.com | mosscarp02@163.com | YantuLa2026! |
