
## 安徽大学飞跃手册系列（123 条）

来源：安徽大学飞跃手册GitHub仓库。
档案文件：`backend/internal/yantuseed/profiles_ahu_feyue_1.go / profiles_ahu_feyue_2.go`

| 序号 | 人生 Agent 显示名 | 原归属来源 | 原归属账号 | 新登录邮箱 | 初始密码 |
| 477 | 快乐的蜻蜓大王 | 上大飞跃手册 | yantu-import@demo.com | molecreek69@163.com | YantuLa2026! |
| 478 | 豆包oo听播客 | 上大飞跃手册 | yantu-import@demo.com | onyxvole79@163.com | YantuLa2026! |
| 479 | 兔兔君捏泥巴 | 上大飞跃手册 | yantu-import@demo.com | mole_fox31@163.com | YantuLa2026! |
| 480 | 蘑菇不熬夜 | 上大飞跃手册 | yantu-import@demo.com | carpowl71@163.com | YantuLa2026! |
| 481 | 认真的苹果__ | 上大飞跃手册 | yantu-import@demo.com | harebyte75@163.com | YantuLa2026! |
| 482 | 花卷打工中 | 上大飞跃手册 | yantu-import@demo.com | doveopal61@163.com | YantuLa2026! |
| 483 | 水母今天早睡 | 上大飞跃手册 | yantu-import@demo.com | mint_mint57@163.com | YantuLa2026! |
| 484 | 慵懒的蓝莓酱7 | 上大飞跃手册 | yantu-import@demo.com | maptag51@163.com | YantuLa2026! |
| 485 | 酸奶呀捏泥巴 | 上大飞跃手册 | yantu-import@demo.com | fox_gold44@163.com | YantuLa2026! |
| 486 | 汉堡小号在跑步 | 上大飞跃手册 | yantu-import@demo.com | barkglow89@163.com | YantuLa2026! |
| 487 | 蚂蚁做饭中 | 上大飞跃手册 | yantu-import@demo.com | creekpath17@163.com | YantuLa2026! |
| 488 | 元气的蝴蝶君 | 上大飞跃手册 | yantu-import@demo.com | plumelk88@163.com | YantuLa2026! |
| 489 | 雪糕骑单车 | 上大飞跃手册 | yantu-import@demo.com | wax_arc45@163.com | YantuLa2026! |
| 490 | 淡定的牛轧糖oo | 上大飞跃手册 | yantu-import@demo.com | capglow15@163.com | YantuLa2026! |
| 491 | 红豆_桂花 | 上大飞跃手册 | yantu-import@demo.com | grid_bark89@163.com | YantuLa2026! |
| 492 | 元气的银杏__ | 上大飞跃手册 | yantu-import@demo.com | dawn_leaf61@163.com | YantuLa2026! |
| 493 | 荔枝7泡咖啡 | 上大飞跃手册 | yantu-import@demo.com | loop_dusk00@163.com | YantuLa2026! |
| 494 | 猫头鹰_桂花 | 上大飞跃手册 | yantu-import@demo.com | mossnode48@163.com | YantuLa2026! |
| 495 | 椰果_鸽子 | 上大飞跃手册 | yantu-import@demo.com | gold_key81@163.com | YantuLa2026! |
| 496 | 柚子zzz爱吃辣 | 上大飞跃手册 | yantu-import@demo.com | cove_crow71@163.com | YantuLa2026! |
| 497 | 猫头鹰x去爬山 | 上大飞跃手册 | yantu-import@demo.com | lynx_lark54@163.com | YantuLa2026! |
| 498 | 芒果干吃早餐 | 上大飞跃手册 | yantu-import@demo.com | arc_elk67@163.com | YantuLa2026! |
| 499 | 萤火虫er练瑜伽 | 上大飞跃手册 | yantu-import@demo.com | chipbrook88@163.com | YantuLa2026! |
| 500 | 芋圆_核桃 | 上大飞跃手册 | yantu-import@demo.com | loopstorm06@163.com | YantuLa2026! |
| 501 | 桃子_0听播客 | 上大飞跃手册 | yantu-import@demo.com | elk_peak61@163.com | YantuLa2026! |
| 502 | 青蛙3煮火锅 | 上大飞跃手册 | yantu-import@demo.com | coreseed10@163.com | YantuLa2026! |
| 503 | 淡定的苹果ya | 上大飞跃手册 | yantu-import@demo.com | pine_haze36@163.com | YantuLa2026! |
| 504 | 芒果学画画 | 上大飞跃手册 | yantu-import@demo.com | fluxchip23@163.com | YantuLa2026! |
| 505 | 薯条喝绿茶 | 上大飞跃手册 | yantu-import@demo.com | rubylynx36@163.com | YantuLa2026! |
| 506 | 蜻蜓_拿铁 | 上大飞跃手册 | yantu-import@demo.com | clay_path38@163.com | YantuLa2026! |
| 507 | 企鹅zzz看电影 | 上大飞跃手册 | yantu-import@demo.com | pathrose95@163.com | YantuLa2026! |
| 508 | 薯条泡咖啡 | 上大飞跃手册 | yantu-import@demo.com | peak_mole65@163.com | YantuLa2026! |
| 509 | 蜜桃_桂花 | 上大飞跃手册 | yantu-import@demo.com | noonlark77@163.com | YantuLa2026! |
| 510 | 努力的麻雀x | 上大飞跃手册 | yantu-import@demo.com | bark_mist72@163.com | YantuLa2026! |
| 511 | 百香果ii刷题中 | 上大飞跃手册 | yantu-import@demo.com | beamdusk83@163.com | YantuLa2026! |
| 512 | 柚子_豆包 | 上大飞跃手册 | yantu-import@demo.com | roseray69@163.com | YantuLa2026! |
| 513 | 鹿茸搬砖中 | 上大飞跃手册 | yantu-import@demo.com | elkbyte23@163.com | YantuLa2026! |
| 514 | 蜻蜓在图书馆 | 上大飞跃手册 | yantu-import@demo.com | boltpond55@163.com | YantuLa2026! |
| 515 | 饼干下象棋 | 上大飞跃手册 | yantu-import@demo.com | elk_loop44@163.com | YantuLa2026! |
| 516 | 勤劳的兔兔君 | 上大飞跃手册 | yantu-import@demo.com | petal_cap47@163.com | YantuLa2026! |
| 517 | 咖啡er在图书馆 | 上大飞跃手册 | yantu-import@demo.com | glowpetal87@163.com | YantuLa2026! |
| 518 | 雪糕oo在发呆 | 上大飞跃手册 | yantu-import@demo.com | arcbloom12@163.com | YantuLa2026! |
| 519 | 蔓越莓_桂花 | 上大飞跃手册 | yantu-import@demo.com | petalmap09@163.com | YantuLa2026! |
| 520 | 安静的饺子3 | 上大飞跃手册 | yantu-import@demo.com | pike_elk02@163.com | YantuLa2026! |
| 521 | 豆奶_红豆 | 上大飞跃手册 | yantu-import@demo.com | map_iron06@163.com | YantuLa2026! |
| 522 | 栗子oo不吃宵夜 | 上大飞跃手册 | yantu-import@demo.com | orb_bark15@163.com | YantuLa2026! |
| 523 | 安静的瓢虫_v | 上大飞跃手册 | yantu-import@demo.com | rootclay38@163.com | YantuLa2026! |
| 524 | 认真的可可ya | 上大飞跃手册 | yantu-import@demo.com | twig_crow13@163.com | YantuLa2026! |
| 525 | 薯条_杨梅 | 上大飞跃手册 | yantu-import@demo.com | linkbyte04@163.com | YantuLa2026! |
| 526 | 果冻大王的碎碎念 | 上大飞跃手册 | yantu-import@demo.com | petaldune14@163.com | YantuLa2026! |
| 527 | 西瓜ya逛公园 | 上大飞跃手册 | yantu-import@demo.com | basscreek68@163.com | YantuLa2026! |
| 528 | 蓝莓__追番中 | 上大飞跃手册 | yantu-import@demo.com | silkarc30@163.com | YantuLa2026! |
| 529 | 安静的银杏_0 | 上大飞跃手册 | yantu-import@demo.com | dusk_petal16@163.com | YantuLa2026! |
| 530 | 海星_兔兔 | 上大飞跃手册 | yantu-import@demo.com | hare_sun46@163.com | YantuLa2026! |
| 531 | 寿司呀考试周 | 上大飞跃手册 | yantu-import@demo.com | pond_leaf71@163.com | YantuLa2026! |
| 532 | 勤劳的核桃酱 | 上大飞跃手册 | yantu-import@demo.com | rosestar31@163.com | YantuLa2026! |
| 533 | 飞翔的柠檬ii | 上大飞跃手册 | yantu-import@demo.com | beam_twig83@163.com | YantuLa2026! |
| 534 | 鲸鱼下象棋 | 上大飞跃手册 | yantu-import@demo.com | wren_lace69@163.com | YantuLa2026! |
| 535 | 黑芝麻要毕业了 | 上大飞跃手册 | yantu-import@demo.com | tagclay79@163.com | YantuLa2026! |
| 536 | 豆包_桂花 | 上大飞跃手册 | yantu-import@demo.com | crowmist98@163.com | YantuLa2026! |
| 537 | 可可oo修电脑 | 上大飞跃手册 | yantu-import@demo.com | rose_onyx02@163.com | YantuLa2026! |
| 538 | 巧克力_饼干 | 上大飞跃手册 | yantu-import@demo.com | elkpond06@163.com | YantuLa2026! |
| 539 | 拿铁逛公园 | 上大飞跃手册 | yantu-import@demo.com | log_lace38@163.com | YantuLa2026! |
| 540 | 机灵的板栗_v | 上大飞跃手册 | yantu-import@demo.com | onyxbyte64@163.com | YantuLa2026! |
| 541 | 沉默的桃子ya | 上大飞跃手册 | yantu-import@demo.com | glen_dove96@163.com | YantuLa2026! |
| 542 | 水母修电脑 | 上大飞跃手册 | yantu-import@demo.com | cove_node51@163.com | YantuLa2026! |
| 543 | 可可小号画画中 | 上大飞跃手册 | yantu-import@demo.com | rubyjay63@163.com | YantuLa2026! |
| 544 | 青蛙_牛轧糖 | 上大飞跃手册 | yantu-import@demo.com | arc_frost62@163.com | YantuLa2026! |
| 545 | 阿狸去散步 | 上大飞跃手册 | yantu-import@demo.com | foxarc34@163.com | YantuLa2026! |
| 546 | 迷路的海豚大王 | 上大飞跃手册 | yantu-import@demo.com | link_ray04@163.com | YantuLa2026! |
| 547 | 苹果的碎碎念 | 上大飞跃手册 | yantu-import@demo.com | dusk_lark40@163.com | YantuLa2026! |
| 548 | 努力的柚子3 | 上大飞跃手册 | yantu-import@demo.com | frostsilk68@163.com | YantuLa2026! |
| 549 | 板栗呀的碎碎念 | 上大飞跃手册 | yantu-import@demo.com | waxtwig77@163.com | YantuLa2026! |
| 550 | 蜗牛_寿司 | 上大飞跃手册 | yantu-import@demo.com | bass_dusk54@163.com | YantuLa2026! |
| 551 | 勤劳的萤火虫小号 | 上大飞跃手册 | yantu-import@demo.com | corewave89@163.com | YantuLa2026! |
| 552 | 蜻蜓哈去散步 | 上大飞跃手册 | yantu-import@demo.com | tide_cap17@163.com | YantuLa2026! |
| 553 | 章鱼ya喝牛奶 | 上大飞跃手册 | yantu-import@demo.com | pond_jade69@163.com | YantuLa2026! |
| 554 | 菠萝小号刷题中 | 上大飞跃手册 | yantu-import@demo.com | silk_onyx66@163.com | YantuLa2026! |
